Combinations,Percentage of Players
air + air,29.4
air + algae,15.9
air + aquarium,1.2
air + atomic bomb,5.3
air + bacteria,0.6
air + boiler,1.8
air + brick,17.6
air + bullet,1.8
air + cactus,0.6
air + clay,0.6
air + cloud,26.5
air + cotton,0.6
air + dam,0.6
air + day,2.9
air + desert,1.8
air + dew,5.3
air + dune,1.8
air + dust,34.7
air + earth,73.5
air + earthquake,17.6
air + energy,47.6
air + excalibur,1.2
air + fireworks,0.6
air + geyser,17.6
air + gold,0.6
air + grass,4.7
air + grenade,0.6
air + gunpowder,6.5
air + horizon,2.4
air + house,2.9
air + human,0.6
air + isle,2.4
air + light,0.6
air + mountain range,0.6
air + mud,20.0
air + night,0.6
air + obsidian,9.4
air + ocean,7.1
air + paint,0.6
air + plant,14.1
air + pond,0.6
air + pressure,12.4
air + pyramid,0.6
air + rain,34.1
air + rust,1.8
air + sand,5.9
air + sandstone,1.2
air + steam,42.9
air + stone,11.2
air + sun,2.9
air + swamp,4.1
air + tobacco,6.5
air + tsunami,1.8
air + village,0.6
air + volcano,17.1
air + wave,1.8
air + wind,24.7
air + windmill,1.8
air + wizard,0.6
algae + algae,11.2
algae + allergy,0.6
algae + atmosphere,1.8
algae + brick,5.3
algae + coal,0.6
algae + cotton,0.6
algae + dust,5.3
algae + energy,10.6
algae + explosion,0.6
algae + fire,14.7
algae + flood,0.6
algae + garden,2.9
algae + geyser,2.4
algae + granite,0.6
algae + gunpowder,0.6
algae + horizon,1.2
algae + house,0.6
algae + human,0.6
algae + isle,0.6
algae + lava,6.5
algae + metal,0.6
algae + moss,0.6
algae + obsidian,3.5
algae + ocean,2.4
algae + plant,5.9
algae + pressure,2.4
algae + rainbow,0.6
algae + salt,1.8
algae + sea,5.9
algae + steam,7.6
algae + stone,3.5
algae + storm,0.6
algae + tide,0.6
algae + volcano,2.4
algae + water,17.6
algae + wave,0.6
algae + wind,6.5
algae + wire,0.6
allergy + ash,0.6
allergy + farmer,0.6
allergy + rain,0.6
allergy + water,0.6
aquarium + algae,0.6
aquarium + aquarium,2.4
aquarium + beach,1.2
aquarium + dune,0.6
aquarium + dust,1.2
aquarium + electricity,0.6
aquarium + glass,1.2
aquarium + sandstone,0.6
archipelago + air,1.2
archipelago + archipelago,5.3
archipelago + city,1.8
archipelago + dam,0.6
archipelago + earthquake,0.6
archipelago + explosion,1.2
archipelago + flood,1.2
archipelago + horizon,0.6
archipelago + isle,1.8
archipelago + lava,0.6
archipelago + moon,0.6
archipelago + wind,0.6
ash + air,8.2
ash + algae,1.8
ash + archipelago,0.6
ash + ash,4.1
ash + beach,1.2
ash + blade,0.6
ash + brick,3.5
ash + city,0.6
ash + cloud,2.4
ash + dam,0.6
ash + dew,0.6
ash + dune,0.6
ash + energy,8.2
ash + fire,8.2
ash + flood,0.6
ash + garden,0.6
ash + geyser,2.4
ash + gold,0.6
ash + grass,1.2
ash + house,0.6
ash + hurricane,1.8
ash + isle,0.6
ash + metal,0.6
ash + mud,3.5
ash + obsidian,2.9
ash + ocean,1.2
ash + pressure,0.6
ash + rain,5.3
ash + rust,0.6
ash + salt,0.6
ash + sound,0.6
ash + stone,2.4
ash + water,10.0
atmosphere + air,9.4
atmosphere + aquarium,0.6
atmosphere + archipelago,0.6
atmosphere + ash,1.8
atmosphere + atmosphere,10.6
atmosphere + atomic bomb,1.2
atmosphere + cloud,3.5
atmosphere + dust,3.5
atmosphere + earthquake,2.4
atmosphere + electricity,1.2
atmosphere + garden,0.6
atmosphere + grass,0.6
atmosphere + gun,0.6
atmosphere + house,1.2
atmosphere + hurricane,0.6
atmosphere + lava,2.4
atmosphere + light,0.6
atmosphere + metal,1.8
atmosphere + plant,1.2
atmosphere + sea,4.1
atmosphere + sky,2.9
atmosphere + steam,4.7
atmosphere + stone,0.6
atmosphere + storm,0.6
atmosphere + tobacco,0.6
atmosphere + water,5.9
atmosphere + wave,1.2
atmosphere + wire,1.8
atomic bomb + algae,2.9
atomic bomb + archipelago,0.6
atomic bomb + ash,0.6
atomic bomb + atomic bomb,4.7
atomic bomb + blade,1.2
atomic bomb + boiler,0.6
atomic bomb + cloud,1.8
atomic bomb + cold,0.6
atomic bomb + dust,3.5
atomic bomb + earth,4.1
atomic bomb + earthquake,3.5
atomic bomb + explosion,8.2
atomic bomb + fireman,0.6
atomic bomb + gunpowder,2.4
atomic bomb + house,0.6
atomic bomb + human,0.6
atomic bomb + lava,1.8
atomic bomb + metal,2.9
atomic bomb + mud,2.4
atomic bomb + obsidian,1.8
atomic bomb + plankton,0.6
atomic bomb + salt,0.6
atomic bomb + sand,0.6
atomic bomb + sea,0.6
atomic bomb + sound,0.6
atomic bomb + steam,2.4
atomic bomb + stone,1.2
atomic bomb + storm,2.4
atomic bomb + sun,0.6
atomic bomb + swamp,0.6
atomic bomb + village,0.6
atomic bomb + volcano,4.7
atomic bomb + wall,0.6
atomic bomb + wave,0.6
atomic bomb + wind,3.5
atomic bomb + wizard,0.6
bacteria + brick,0.6
bacteria + earth,0.6
bacteria + energy,0.6
bacteria + fire,0.6
bacteria + geyser,0.6
bacteria + obsidian,0.6
bacteria + plant,0.6
bacteria + rain,0.6
bacteria + steam,0.6
bacteria + wind,0.6
bayonet + bayonet,0.6
bayonet + blade,0.6
bayonet + sword,0.6
beach + air,2.4
beach + algae,1.2
beach + atmosphere,1.2
beach + atomic bomb,1.2
beach + beach,2.9
beach + boiler,0.6
beach + brick,0.6
beach + bullet,0.6
beach + desert,0.6
beach + earth,3.5
beach + energy,2.4
beach + lava,1.8
beach + mountain,0.6
beach + pyramid,0.6
beach + sand,1.2
beach + sea,0.6
beach + stone,1.2
beach + volcano,1.8
beach + wave,0.6
beach + wind,2.4
bird + energy,0.6
blade + air,1.8
blade + aquarium,0.6
blade + archipelago,0.6
blade + blade,4.1
blade + bullet,2.4
blade + dust,1.8
blade + earth,1.2
blade + earthquake,0.6
blade + electricity,2.9
blade + energy,3.5
blade + explosion,0.6
blade + gun,0.6
blade + gunpowder,1.2
blade + hay,0.6
blade + light,0.6
blade + moon,0.6
blade + mud,1.2
blade + obsidian,1.2
blade + pressure,0.6
blade + sand,0.6
blade + sandstorm,0.6
blade + scissors,2.4
blade + sky,0.6
blade + stone,2.9
blade + swamp,0.6
blade + volcano,0.6
blade + water,2.4
blade + wind,0.6
blender + air,1.2
blender + blade,1.2
blender + blender,1.2
blender + bullet,0.6
blender + earth,0.6
blender + excalibur,0.6
blender + fire,0.6
blender + rain,0.6
blender + sky,0.6
blender + wire,1.2
boiler + boiler,1.2
boiler + bullet,0.6
boiler + desert,0.6
boiler + dust,0.6
boiler + light,0.6
boiler + metal,0.6
boiler + obsidian,1.2
boiler + pressure,1.2
boiler + sand,0.6
boiler + sea,1.2
boiler + stone,0.6
boiler + wire,0.6
brick + aquarium,0.6
brick + atmosphere,1.8
brick + atomic bomb,2.9
brick + blade,1.2
brick + brick,16.5
brick + bullet,0.6
brick + clay,1.8
brick + cloud,4.7
brick + cotton,0.6
brick + day,0.6
brick + earth,19.4
brick + energy,17.1
brick + flood,1.2
brick + granite,0.6
brick + grass,1.2
brick + house,1.8
brick + hurricane,1.8
brick + moss,1.2
brick + mountain,1.2
brick + ocean,1.8
brick + pressure,2.9
brick + river,0.6
brick + salt,1.2
brick + sand,1.2
brick + scissors,1.2
brick + sea,1.8
brick + sky,0.6
brick + sound,0.6
brick + steam,8.8
brick + stone,4.1
brick + swamp,2.9
brick + tobacco,4.1
brick + tsunami,0.6
brick + wall,4.7
bullet + atomic bomb,1.2
bullet + bullet,1.8
bullet + dust,1.2
bullet + dynamite,0.6
bullet + electricity,0.6
bullet + fire,1.8
bullet + flamethrower,0.6
bullet + lava,1.2
bullet + metal,4.1
bullet + stone,0.6
bullet + tobacco,0.6
bullet + water gun,0.6
cactus + cloud,0.6
cactus + earthquake,0.6
cactus + water,0.6
city + air,1.8
city + algae,0.6
city + atmosphere,0.6
city + atomic bomb,1.8
city + boiler,0.6
city + brick,2.9
city + city,12.4
city + cloud,1.2
city + dam,0.6
city + desert,0.6
city + earth,2.9
city + electricity,0.6
city + energy,5.9
city + house,4.1
city + metal,0.6
city + moon,0.6
city + mountain range,1.2
city + night,0.6
city + ocean,0.6
city + rain,1.2
city + river,0.6
city + salt,1.2
city + sea,1.8
city + steam,1.8
city + tobacco,0.6
city + tsunami,0.6
city + wall,4.1
city + water,2.9
city + wind,0.6
clay + beach,0.6
clay + clay,0.6
clay + lava,1.2
clay + river,0.6
clay + water,1.2
clay + wire,0.6
cloud + algae,2.9
cloud + aquarium,1.2
cloud + archipelago,1.2
cloud + beach,1.2
cloud + blade,0.6
cloud + blender,0.6
cloud + clay,0.6
cloud + cloud,11.2
cloud + coal,0.6
cloud + day,1.8
cloud + dew,0.6
cloud + double rainbow!,0.6
cloud + dust,11.2
cloud + earth,11.8
cloud + earthquake,2.4
cloud + eclipse,0.6
cloud + fire,14.1
cloud + fireworks,0.6
cloud + garden,0.6
cloud + geyser,2.4
cloud + glass,0.6
cloud + gunpowder,2.4
cloud + horizon,2.4
cloud + hurricane,1.8
cloud + lava,7.1
cloud + mountain,0.6
cloud + obsidian,3.5
cloud + ocean,1.2
cloud + plant,2.9
cloud + sandstorm,0.6
cloud + sea,1.8
cloud + sky,11.8
cloud + stone,2.4
cloud + storm,4.7
cloud + sun,4.1
cloud + tobacco,1.8
cloud + water,27.1
cloud + wind,7.1
coal + air,1.2
coal + atomic bomb,0.6
coal + coal,2.4
coal + dew,0.6
coal + energy,1.8
coal + fire,3.5
coal + granite,0.6
coal + pressure,1.2
coal + rain,1.2
coal + steam,0.6
coal + village,0.6
coal + volcano,1.2
coal + wind,0.6
cold + cold,0.6
cold + earth,0.6
cold + life,0.6
cold + mountain,0.6
cold + swamp,0.6
cold + wizard,0.6
cotton + atomic bomb,0.6
cotton + cloud,2.4
cotton + cotton,1.2
cotton + hay,0.6
cotton + lava,1.2
cotton + paint,1.2
cotton + plant,1.2
cotton + rain,0.6
cotton + rainbow,0.6
cotton + storm,0.6
cotton + water,1.8
dam + dam,0.6
dam + lake,0.6
dam + sea,0.6
dam + windmill,0.6
day + blender,0.6
day + city,0.6
day + day,2.4
day + dust,0.6
day + gold,0.6
day + grass,0.6
day + horizon,0.6
day + lava,1.8
day + metal,0.6
day + pond,0.6
day + pressure,0.6
day + rain,1.2
day + steam,1.2
day + storm,0.6
day + village,0.6
desert + bullet,0.6
desert + desert,2.4
desert + dune,1.2
desert + earth,1.2
desert + fire,1.2
desert + flood,0.6
desert + rust,0.6
desert + sand,0.6
desert + sea,0.6
desert + stone,0.6
desert + tsunami,0.6
dew + algae,1.8
dew + atmosphere,0.6
dew + atomic bomb,0.6
dew + dew,2.4
dew + dust,1.8
dew + farmer,0.6
dew + fire,3.5
dew + night,0.6
dew + rain,1.8
dew + rainbow,0.6
dew + sky,0.6
dew + swamp,0.6
dew + volcano,0.6
diamond + air,0.6
diamond + algae,0.6
diamond + brick,0.6
diamond + city,0.6
diamond + coal,0.6
diamond + diamond,0.6
diamond + earth,0.6
diamond + earthquake,0.6
diamond + energy,0.6
diamond + fire,0.6
diamond + flood,0.6
diamond + geyser,0.6
diamond + house,0.6
diamond + lava,1.2
diamond + pressure,1.2
double rainbow! + archipelago,0.6
double rainbow! + atmosphere,0.6
double rainbow! + double rainbow!,1.2
double rainbow! + water,0.6
duck + energy,0.6
dune + beach,0.6
dune + boiler,0.6
dune + cloud,0.6
dune + dune,1.8
dune + dust,1.8
dune + earth,1.2
dune + earthquake,1.8
dune + electricity,1.2
dune + energy,1.8
dune + rust,0.6
dune + sand,1.2
dune + stone,1.2
dune + wind,2.9
dune + wire,0.6
dust + ash,4.7
dust + beach,1.8
dust + brick,11.2
dust + city,0.6
dust + clay,1.2
dust + cold,0.6
dust + cotton,0.6
dust + desert,1.8
dust + dust,20.0
dust + earth,24.1
dust + earthquake,11.2
dust + explosion,2.9
dust + fire,37.6
dust + flood,1.8
dust + fog,1.2
dust + granite,0.6
dust + hurricane,4.7
dust + life,0.6
dust + obsidian,6.5
dust + salt,2.9
dust + sand,1.2
dust + sandstorm,0.6
dust + sound,0.6
dust + stone,2.9
dust + tobacco,3.5
dust + village,0.6
dust + volcano,12.9
dust + water gun,0.6
dynamite + atomic bomb,0.6
dynamite + beach,0.6
dynamite + dust,0.6
dynamite + sand,0.6
dynamite + water,0.6
earth + algae,14.7
earth + aquarium,0.6
earth + archipelago,1.2
earth + ash,5.3
earth + atmosphere,7.6
earth + boiler,0.6
earth + bullet,1.8
earth + cactus,0.6
earth + clay,0.6
earth + coal,1.2
earth + cotton,1.2
earth + dew,3.5
earth + earth,31.2
earth + earthquake,16.5
earth + eclipse,0.6
earth + energy,44.1
earth + excalibur,0.6
earth + explosion,11.2
earth + fireworks,0.6
earth + flood,1.8
earth + fog,2.4
earth + geyser,11.8
earth + gold,0.6
earth + grass,10.6
earth + hay,0.6
earth + horizon,2.9
earth + house,2.4
earth + hurricane,12.9
earth + isle,3.5
earth + life,1.2
earth + metal,5.9
earth + oasis,0.6
earth + ocean,7.1
earth + paint,0.6
earth + plant,22.4
earth + rain,40.6
earth + river,3.5
earth + sky,7.6
earth + skyscraper,0.6
earth + sound,0.6
earth + steam,35.9
earth + stone,14.7
earth + sword,2.4
earth + tide,0.6
earth + tobacco,8.8
earth + tsunami,2.4
earth + wave,3.5
earth + wheat,0.6
earth + wind,20.6
earthquake + algae,3.5
earthquake + aquarium,0.6
earthquake + ash,3.5
earthquake + beach,0.6
earthquake + brick,5.9
earthquake + city,2.9
earthquake + cold,0.6
earthquake + dynamite,0.6
earthquake + earthquake,13.5
earthquake + electricity,3.5
earthquake + explosion,2.4
earthquake + fog,0.6
earthquake + geyser,5.9
earthquake + glasses,0.6
earthquake + grass,0.6
earthquake + hay,0.6
earthquake + hurricane,8.8
earthquake + isle,1.2
earthquake + lava,11.8
earthquake + life,0.6
earthquake + moss,0.6
earthquake + mountain,3.5
earthquake + mud,5.9
earthquake + obsidian,6.5
earthquake + ocean,4.7
earthquake + plant,0.6
earthquake + pressure,4.1
earthquake + rain,8.2
earthquake + rainbow,0.6
earthquake + sand,1.2
earthquake + sky,1.2
earthquake + sound,0.6
earthquake + steam,5.9
earthquake + stone,3.5
earthquake + storm,1.2
earthquake + sun,0.6
earthquake + village,1.2
earthquake + water,20.6
earthquake + wave,1.2
earthquake + wire,1.8
eclipse + eclipse,0.6
eclipse + ocean,0.6
eclipse + rain,0.6
eclipse + sky,0.6
electricity + air,2.4
electricity + ash,0.6
electricity + atomic bomb,0.6
electricity + beach,0.6
electricity + blender,1.8
electricity + boiler,1.2
electricity + brick,1.2
electricity + cloud,1.2
electricity + day,0.6
electricity + desert,0.6
electricity + dust,3.5
electricity + earth,2.9
electricity + electricity,4.7
electricity + flood,1.8
electricity + glass,1.2
electricity + grass,0.6
electricity + house,2.4
electricity + isle,0.6
electricity + light,0.6
electricity + light bulb,0.6
electricity + mud,0.6
electricity + oasis,0.6
electricity + obsidian,1.2
electricity + plant,0.6
electricity + pressure,1.8
electricity + pyramid,0.6
electricity + rainbow,0.6
electricity + rust,1.2
electricity + sand,0.6
electricity + sandstorm,0.6
electricity + scissors,1.2
electricity + storm,0.6
electricity + village,0.6
electricity + wave,0.6
electricity + wind,2.4
electricity + wire,5.9
energy + aquarium,0.6
energy + atmosphere,6.5
energy + atomic bomb,7.6
energy + blender,2.4
energy + boiler,1.8
energy + bullet,2.4
energy + cloud,14.1
energy + cold,0.6
energy + cotton,0.6
energy + dam,1.2
energy + day,1.8
energy + desert,1.2
energy + dew,2.4
energy + dust,26.5
energy + earthquake,28.2
energy + electricity,5.9
energy + energy,25.3
energy + excalibur,1.2
energy + farmer,0.6
energy + field,0.6
energy + flamethrower,0.6
energy + flood,7.1
energy + flower,1.2
energy + fog,2.4
energy + garden,1.8
energy + geyser,15.9
energy + glass,1.2
energy + grenade,0.6
energy + gun,1.2
energy + gunpowder,12.4
energy + human,1.2
energy + life,1.2
energy + mud,16.5
energy + obsidian,8.2
energy + ocean,6.5
energy + pressure,14.1
energy + rain,27.6
energy + rainbow,0.6
energy + river,3.5
energy + salt,2.4
energy + sand,2.9
energy + sandstorm,1.2
energy + sea,10.6
energy + sky,6.5
energy + sound,0.6
energy + steam,27.6
energy + stone,8.2
energy + sun,2.4
energy + sword,0.6
energy + tsunami,4.7
energy + wall,1.2
energy + wave,2.9
energy + wire,4.7
energy + wizard,1.2
excalibur + earthquake,0.6
excalibur + electricity,0.6
excalibur + excalibur,0.6
excalibur + garden,0.6
excalibur + metal,0.6
excalibur + rain,0.6
excalibur + rust,0.6
excalibur + water,0.6
excalibur + wind,0.6
excalibur + wire,0.6
explosion + air,6.5
explosion + ash,1.2
explosion + atmosphere,2.4
explosion + brick,1.2
explosion + bullet,1.2
explosion + city,1.2
explosion + cloud,1.2
explosion + coal,1.2
explosion + energy,12.4
explosion + explosion,5.9
explosion + fog,0.6
explosion + granite,0.6
explosion + gunpowder,4.7
explosion + hay,0.6
explosion + house,1.2
explosion + human,0.6
explosion + mud,2.4
explosion + obsidian,1.2
explosion + ocean,1.2
explosion + pressure,2.4
explosion + rain,2.4
explosion + rainbow,0.6
explosion + steam,2.9
explosion + sword,0.6
explosion + volcano,8.2
explosion + wind,2.4
farmer + algae,0.6
farmer + earth,0.6
farmer + human,0.6
farmer + wizard,0.6
field + algae,0.6
field + mud,0.6
fire + air,76.5
fire + aquarium,1.8
fire + archipelago,0.6
fire + atmosphere,7.6
fire + atomic bomb,7.1
fire + beach,3.5
fire + blade,4.1
fire + boiler,1.8
fire + brick,26.5
fire + cactus,0.6
fire + city,2.9
fire + cotton,1.8
fire + day,1.2
fire + dune,1.2
fire + earth,84.7
fire + earthquake,20.6
fire + electricity,1.8
fire + energy,45.9
fire + explosion,8.2
fire + fire,39.4
fire + flamethrower,0.6
fire + flood,1.8
fire + glass,4.7
fire + gun,1.2
fire + gunpowder,19.4
fire + hay,1.8
fire + house,4.7
fire + lava,31.8
fire + life,1.8
fire + light,0.6
fire + metal,10.0
fire + moss,1.8
fire + mud,42.9
fire + obsidian,20.0
fire + ocean,7.6
fire + plant,24.1
fire + pond,1.2
fire + pressure,14.1
fire + rain,38.2
fire + rust,0.6
fire + sand,6.5
fire + sandstorm,1.2
fire + skyscraper,0.6
fire + sound,0.6
fire + steam,39.4
fire + stone,18.2
fire + swamp,8.8
fire + sword,2.9
fire + water gun,0.6
fire + wind,26.5
fire + wire,3.5
fireman + cold,0.6
fireman + earthquake,0.6
fireman + energy,0.6
fireman + explosion,0.6
fireman + fire,0.6
fireman + fireman,0.6
fireman + geyser,0.6
fireman + human,0.6
fireman + swamp,0.6
fireman + waterfall,0.6
fireworks + dust,0.6
fireworks + explosion,0.6
fireworks + fire,0.6
fireworks + gunpowder,0.6
fireworks + lava,0.6
fireworks + water,0.6
flamethrower + blade,0.6
flood + air,1.2
flood + atmosphere,1.8
flood + atomic bomb,0.6
flood + city,4.1
flood + cloud,0.6
flood + earthquake,5.9
flood + explosion,1.2
flood + flood,14.1
flood + garden,2.4
flood + granite,0.6
flood + isle,2.4
flood + obsidian,0.6
flood + plant,1.2
flood + pond,0.6
flood + rain,3.5
flood + sea,1.8
flood + sky,0.6
flood + steam,1.2
flood + storm,0.6
flood + tsunami,1.2
flood + village,2.4
flood + wind,1.8
flower + air,1.2
flower + bacteria,0.6
flower + brick,0.6
flower + cloud,1.2
flower + earth,1.8
flower + explosion,0.6
flower + fire,2.4
flower + flower,2.4
flower + geyser,1.2
flower + moss,0.6
flower + mud,1.2
flower + obsidian,0.6
flower + pond,0.6
flower + rain,1.8
flower + scissors,0.6
flower + steam,0.6
flower + village,0.6
flower + volcano,0.6
flower + water,2.4
flower + wind,1.2
fog + air,3.5
fog + atmosphere,0.6
fog + brick,0.6
fog + cloud,4.1
fog + fire,2.9
fog + fog,2.4
fog + granite,0.6
fog + plant,1.2
fog + pressure,0.6
fog + sand,0.6
fog + sea,1.2
fog + steam,2.4
fog + tobacco,1.2
fog + wave,0.6
garden + air,3.5
garden + archipelago,0.6
garden + barn,0.6
garden + city,0.6
garden + day,0.6
garden + diamond,0.6
garden + dust,0.6
garden + earth,3.5
garden + fire,3.5
garden + flower,4.1
garden + fog,0.6
garden + garden,8.2
garden + grass,7.1
garden + house,2.9
garden + hurricane,0.6
garden + moss,0.6
garden + mud,1.8
garden + ocean,1.2
garden + plant,5.3
garden + pond,1.2
garden + salt,0.6
garden + skyscraper,0.6
garden + village,0.6
garden + volcano,1.2
garden + water,6.5
garden + wave,0.6
garden + wind,0.6
geyser + aquarium,0.6
geyser + atmosphere,1.2
geyser + atomic bomb,1.8
geyser + blade,1.8
geyser + blender,0.6
geyser + brick,5.9
geyser + clay,1.2
geyser + cotton,0.6
geyser + dune,1.2
geyser + dust,5.9
geyser + electricity,1.8
geyser + excalibur,0.6
geyser + explosion,2.9
geyser + fire,18.8
geyser + fireworks,0.6
geyser + flood,1.8
geyser + fog,0.6
geyser + garden,1.2
geyser + geyser,10.0
geyser + granite,0.6
geyser + grass,4.1
geyser + greenhouse,0.6
geyser + gunpowder,5.9
geyser + lava,13.5
geyser + pressure,3.5
geyser + rainbow,0.6
geyser + sand,0.6
geyser + sandstone,0.6
geyser + sandstorm,0.6
geyser + sea,1.8
geyser + steam,12.9
geyser + sun,0.6
geyser + swamp,2.4
geyser + sword,0.6
geyser + tobacco,2.4
geyser + tsunami,0.6
geyser + village,1.2
geyser + volcano,7.1
geyser + wall,0.6
geyser + water,12.4
geyser + wave,0.6
geyser + wheat,0.6
geyser + wind,6.5
geyser + wire,0.6
glass + air,2.4
glass + ash,0.6
glass + boiler,0.6
glass + cactus,0.6
glass + earth,2.4
glass + flood,0.6
glass + glass,2.4
glass + glasses,0.6
glass + rain,0.6
glass + rust,0.6
glass + sand,1.8
glass + steam,1.8
glass + sun,0.6
glass + water,5.3
glass + wind,0.6
glasses + atmosphere,0.6
glasses + electricity,0.6
glasses + fire,0.6
glasses + glasses,1.8
glasses + light,0.6
glasses + sun,1.2
gold + gold,0.6
gold + ocean,0.6
gold + rain,0.6
gold + sea,0.6
gold + skyscraper,0.6
gold + volcano,0.6
gold + water,0.6
granite + air,2.4
granite + atmosphere,1.2
granite + city,0.6
granite + cloud,0.6
granite + earth,2.4
granite + electricity,0.6
granite + energy,1.8
granite + fire,2.9
granite + granite,2.4
granite + grass,0.6
granite + house,0.6
granite + hurricane,0.6
granite + isle,0.6
granite + metal,0.6
granite + mud,2.4
granite + ocean,0.6
granite + pond,0.6
granite + pressure,2.4
granite + sea,1.8
granite + steam,1.2
granite + stone,0.6
granite + village,0.6
granite + volcano,0.6
granite + wall,0.6
grass + algae,3.5
grass + bacteria,0.6
grass + barn,0.6
grass + blade,1.2
grass + city,0.6
grass + cloud,0.6
grass + dew,2.9
grass + dust,1.8
grass + energy,6.5
grass + explosion,1.8
grass + fire,7.6
grass + flower,2.9
grass + fog,1.2
grass + grass,7.1
grass + grenade,0.6
grass + lake,0.6
grass + mountain,1.2
grass + obsidian,0.6
grass + plant,9.4
grass + rain,6.5
grass + rainbow,1.2
grass + river,0.6
grass + salt,0.6
grass + scythe,1.2
grass + stone,1.8
grass + storm,0.6
grass + swamp,1.2
grass + tobacco,1.8
grass + village,0.6
grass + volcano,1.8
grass + water,8.8
grass + wheat,0.6
grass + wind,2.4
greenhouse + cactus,0.6
greenhouse + earthquake,0.6
greenhouse + energy,0.6
greenhouse + volcano,0.6
grenade + atomic bomb,0.6
grenade + boiler,0.6
grenade + bullet,0.6
grenade + dust,0.6
grenade + earth,0.6
grenade + electricity,0.6
grenade + explosion,1.8
grenade + fire,0.6
grenade + grenade,1.2
grenade + metal,1.8
grenade + stone,0.6
grenade + water,0.6
grenade + water gun,0.6
gun + air,0.6
gun + ash,1.2
gun + atomic bomb,1.2
gun + bayonet,0.6
gun + blender,0.6
gun + bullet,3.5
gun + dynamite,0.6
gun + earth,1.8
gun + explosion,0.6
gun + glass,0.6
gun + grenade,1.8
gun + gun,1.2
gun + scythe,0.6
gun + stone,1.2
gun + sword,1.2
gun + water,1.2
gunpowder + archipelago,0.6
gunpowder + ash,4.1
gunpowder + atmosphere,2.4
gunpowder + brick,4.1
gunpowder + bullet,0.6
gunpowder + coal,1.2
gunpowder + cotton,0.6
gunpowder + dew,0.6
gunpowder + dust,17.1
gunpowder + earth,10.0
gunpowder + earthquake,2.4
gunpowder + flood,0.6
gunpowder + flower,0.6
gunpowder + fog,0.6
gunpowder + glass,0.6
gunpowder + granite,0.6
gunpowder + grass,1.8
gunpowder + gun,2.4
gunpowder + gunpowder,12.4
gunpowder + house,0.6
gunpowder + hurricane,2.4
gunpowder + lava,14.1
gunpowder + metal,5.3
gunpowder + mountain,0.6
gunpowder + mud,4.7
gunpowder + ocean,0.6
gunpowder + plant,1.2
gunpowder + pond,0.6
gunpowder + rain,6.5
gunpowder + salt,1.2
gunpowder + sea,2.4
gunpowder + steam,4.1
gunpowder + storm,1.2
gunpowder + sun,1.2
gunpowder + tobacco,2.4
gunpowder + tsunami,0.6
gunpowder + volcano,4.1
gunpowder + wall,1.8
gunpowder + water,17.6
gunpowder + wave,1.2
gunpowder + wind,3.5
hay + air,1.2
hay + dust,1.2
hay + energy,1.2
hay + hay,0.6
hay + hay bale,0.6
hay + horizon,1.2
hay + needle,0.6
hay + pressure,0.6
hay + sun,1.2
hay + wind,0.6
horizon + atmosphere,1.2
horizon + brick,1.2
horizon + dust,0.6
horizon + earthquake,0.6
horizon + eclipse,0.6
horizon + energy,4.1
horizon + fire,1.8
horizon + fog,1.2
horizon + geyser,0.6
horizon + glasses,0.6
horizon + gunpowder,0.6
horizon + horizon,2.4
horizon + lava,1.2
horizon + mud,1.2
horizon + obsidian,0.6
